Iteration, Beta, KL, Loss, Word, Topo, Assm, PNorm, GNorm
50, 0.000, 18.06, 66.485, 21.47, 65.64, 13.22, 41.42, 5.00
100, 0.000, 42.42, 49.607, 30.72, 81.30, 44.53, 41.81, 5.00
150, 0.000, 50.66, 44.060, 36.20, 87.03, 57.49, 42.32, 5.00
200, 0.000, 53.70, 37.574, 42.43, 90.41, 64.00, 42.72, 5.00
250, 0.000, 54.78, 35.917, 46.24, 92.73, 66.77, 43.02, 5.00
300, 0.000, 55.25, 31.666, 49.23, 93.38, 69.30, 43.26, 5.00
350, 0.000, 56.73, 31.631, 50.38, 93.83, 71.22, 43.47, 5.00
400, 0.000, 57.30, 29.839, 53.78, 94.23, 74.19, 43.64, 5.00
450, 0.000, 58.49, 28.184, 57.53, 94.88, 74.40, 43.78, 5.00
500, 0.000, 59.44, 27.860, 59.57, 94.82, 77.55, 43.89, 5.00
550, 0.000, 59.82, 26.787, 60.67, 94.85, 77.84, 43.98, 5.00
600, 0.000, 61.04, 26.334, 62.11, 95.40, 77.70, 44.05, 5.00
650, 0.000, 61.23, 26.006, 62.98, 95.27, 78.71, 44.10, 5.00
700, 0.000, 61.56, 26.096, 62.88, 95.25, 79.13, 44.14, 5.00
750, 0.000, 62.26, 25.477, 63.83, 95.80, 79.11, 44.18, 5.00
800, 0.000, 61.95, 25.188, 63.73, 95.56, 79.32, 44.21, 5.00
850, 0.000, 63.18, 25.326, 64.04, 95.69, 79.18, 44.23, 5.00
900, 0.000, 63.39, 25.828, 64.01, 95.68, 80.19, 44.25, 5.00
950, 0.000, 62.59, 24.812, 64.68, 95.68, 79.42, 44.27, 5.00
1000, 0.000, 63.37, 24.925, 64.69, 95.88, 79.98, 44.28, 5.00
1050, 0.001, 62.96, 24.679, 64.83, 95.65, 79.95, 44.29, 5.00
1100, 0.001, 63.68, 24.451, 65.31, 95.91, 79.21, 44.30, 5.00
1150, 0.001, 63.88, 25.203, 64.79, 95.71, 80.60, 44.30, 5.00
1200, 0.001, 63.10, 24.558, 65.17, 95.94, 79.35, 44.31, 5.00
1250, 0.001, 63.79, 24.998, 65.37, 95.92, 79.43, 44.31, 5.00
1300, 0.001, 63.50, 24.840, 65.32, 95.74, 79.40, 44.32, 5.00
1350, 0.001, 63.97, 24.665, 65.70, 95.88, 79.40, 44.32, 5.00
1400, 0.001, 63.73, 24.588, 65.43, 95.77, 79.41, 44.32, 5.00
1450, 0.001, 63.95, 24.887, 65.65, 95.90, 79.40, 44.33, 5.00
1500, 0.001, 63.88, 25.015, 65.46, 95.88, 79.43, 44.33, 5.00
1550, 0.001, 63.61, 24.913, 65.73, 95.97, 79.40, 44.33, 5.00
1600, 0.001, 64.02, 25.228, 65.95, 95.87, 79.43, 44.33, 5.00
1650, 0.001, 63.73, 24.886, 65.64, 95.88, 79.43, 44.34, 5.00
1700, 0.001, 63.95, 25.019, 66.02, 96.03, 79.44, 44.34, 5.00
1750, 0.001, 64.01, 24.858, 65.74, 95.93, 79.42, 44.34, 5.00
1800, 0.001, 64.05, 24.769, 65.78, 95.97, 79.45, 44.34, 5.00
1850, 0.001, 63.95, 24.948, 65.85, 96.00, 79.47, 44.35, 5.00
1900, 0.001, 63.90, 24.775, 65.76, 96.00, 79.45, 44.35, 5.00
1950, 0.001, 63.91, 24.685, 65.79, 95.99, 79.45, 44.35, 5.00
2000, 0.001, 64.05, 24.943, 65.89, 96.02, 79.45, 44.35, 5.00
2050, 0.001, 64.03, 25.104, 65.82, 96.05, 79.47, 44.36, 5.00
2100, 0.001, 64.02, 24.990, 65.95, 96.06, 79.48, 44.36, 5.00
2150, 0.001, 64.02, 25.015, 65.86, 96.02, 79.45, 44.36, 5.00
2200, 0.001, 64.08, 25.032, 66.03, 96.08, 79.49, 44.36, 5.00
2250, 0.001, 64.04, 25.145, 65.93, 96.06, 79.50, 44.36, 5.00
2300, 0.001, 64.03, 25.033, 65.97, 96.08, 79.50, 44.37, 5.00
2350, 0.001, 64.04, 25.072, 65.98, 96.08, 79.51, 44.37, 5.00
2400, 0.001, 64.06, 25.048, 65.93, 96.06, 79.49, 44.37, 5.00
2450, 0.001, 64.05, 25.061, 66.00, 96.08, 79.50, 44.37, 5.00
2500, 0.001, 64.05, 25.086, 66.07, 96.10, 79.51, 44.37, 5.00
2550, 0.001, 64.06, 25.122, 66.07, 96.09, 79.51, 44.38, 5.00
2600, 0.001, 64.07, 25.125, 66.05, 96.09, 79.51, 44.38, 5.00
2650, 0.001, 64.07, 25.093, 66.04, 96.09, 79.51, 44.38, 5.00
2700, 0.001, 64.08, 25.135, 66.07, 96.09, 79.51, 44.38, 5.00
2750, 0.001, 64.08, 25.144, 66.10, 96.09, 79.51, 44.38, 5.00
2800, 0.001, 64.08, 25.125, 66.09, 96.09, 79.51, 44.38, 5.00
2850, 0.001, 64.08, 25.129, 66.10, 96.09, 79.51, 44.38, 5.00
2900, 0.001, 64.08, 25.134, 66.11, 96.09, 79.51, 44.38, 5.00
2950, 0.001, 64.08, 25.131, 66.11, 96.09, 79.51, 44.38, 5.00
3000, 0.001, 64.08, 25.128, 66.11, 96.09, 79.51, 44.38, 5.00
